城市,代码
伊金霍洛,yijinhuoluo
牙克石,yakeshi
雅布赖,yabulai
元氏,yuanshi
裕华,yuhuaqu
易县,yixian1
蔚县,yuxian1
阳原,yangyuan
鹰手营子矿,yingshouying
玉田,yutian
永清,yongqing
盐山,yanshan
运河,yunhequ
永年,yongnian
阳曲,yangqu
迎泽,yingzequ
阳高,yanggao
阳泉,yangquan
盂县,yuxian
榆次,yuci
榆社,yushe
阳城,yangcheng
永和,yonghe
翼城,yicheng
尧都,yaodu
运城,yuncheng
垣曲,yuanqu
永济,yongji1
盐湖,yanhuqu
右玉,youyu
应县,yingxian
原平,yuanping
雁塔,yantaqu
阎良,yanliangqu
永寿,yongshou
延安,yanan
延长,yanchang
延川,yanchuan
宜川,yichuan
榆林,yulin
榆阳,yuyang
榆阳,yuyangqu
洋县,yangxian
耀县,yaoxian
宜君,yijun
耀州,yaozhou
印台,yintaiqu
沂源,yiyuan
禹城,yucheng
烟台,yantai
鱼台,yutai
兖州,yanzhou
沂南,yinan
沂水,yishui
郓城,yuncheng1
阳信,yangxin
峄城,yicheng1
阳谷,yanggu
尉犁,yuli
焉耆,yanqi
英吉沙,yingjisha
叶城,yecheng
岳普湖,yuepuhu
伊宁,yining
伊宁,yiningxian
裕民,yumin
伊州,hamiyizhou
伊吾,yiwu
于田,yutian1
亚东,yadong
玉树,yushu1
永登,yongdeng
榆中,yuzhong
永昌,yongchang
玉门,yumen
永靖,yongjing
银川,yinchuan
永宁,yongning
盐池,yanchi
原州,yuanzhou
殷都,yinduqu
原阳,yuanyang
延津,yanjin
鄢陵,yanling
禹州,yuzhou1
叶县,yexian
禹王台,yuwangtaiqu
宜阳,yiyang
伊川,yichuan1
偃师,yanshi1
虞城,yucheng1
永城,yongcheng
源汇,yuanhuiqu
郾城,yanchengqu
驿城,yichengqu
义马,yima
雨花台,yuhuataiqu
宜兴,yixing
扬中,yangzhong
扬州,yangzhou
仪征,yizheng
盐城,yancheng
盐都,yandu
云龙,yunlongqu
宜城,yicheng2
云梦,yunmeng
应城,yingcheng
英山,yingshan
阳新,yangxin1
宜昌,yichang
远安,yuanan
宜都,yidu
夷陵,yiling
郧西,yunxi
郧阳,yunyangqu
余杭,yuhang
余姚,yuyao
鄞州,yinzhou
越城,yuechengqu
玉环,yuhuan
乐清,yueqing
永嘉,yongjia
云和,yunhe
义乌,yiwu1
永康,yongkang
瑶海,yaohai
禹会,yuhuiqu
弋江,yijiangqu
雨山,yushanqu
岳西,yuexi
迎江,yingjiangqu
宜秀,yixiuqu
埇桥,yongqiaoqu
颍上,yingshang
颍州,yingzhouqu
颍泉,yingquanqu
颍东,yingdongqu
黟县,yixian2
义安,yianqu
叶集,yejiqu
裕安,yuan
永泰,yongtai
永春,yongchun
云霄,yunxiao
永定,yongding
尤溪,youxi
永安,yongan
延平,yanping
永修,yongxiu
余干,yugan
弋阳,yiyang2
铅山,yanshan2
玉山,yushan
宜黄,yihuang
宜春,yichun1
宜丰,yifeng
袁州区,yuanzhouqu
永丰,yongfeng
永新,yongxin
于都,yudu
渝水,yushuiqu
鹰潭,yingtan
余江,yujiang
月湖,yuehuqu
岳麓,yueluqu
雨湖,yuhuqu
岳塘,yuetangqu
攸县,youxian
炎陵,yanling1
雁峰,yanfengqu
宜章,yizhang
永兴,yongxing
益阳,yiyang1
沅江,yuanjiang
岳阳,yueyang
岳阳楼,yueyanglouqu
云溪,yunxiqu
岳阳,yueyangxian
张家界永定,yongdingqu
沅陵,yuanling
永州,yongzhou
永顺,yongshun
云岩,yunyan
余庆,yuqing
玉屏,yuping
印江,yinjiang
沿河,yanhe
盐边,yanbian1
沿滩,yantanqu
盐亭,yanting
游仙,youxianqu
营山,yingshanxian
仪陇,yilong
岳池,yuechi
宜宾,yibin
宜宾,yibinxian
盐源,yanyuan
越西,yuexixian
雅安,yaan
荥经,yingjing
雨城,yuchengqu
雅江,yajiang
元坝,yuanbaqu
越秀,yuexiuqu
盐田,yantianqu
源城,yuanchengqu
阳山,yangshan
英德,yingde
云浮,yunfu
郁南,yunan
云安,yunan1
云城,yunchengqu
阳江,yangjiang
阳春,yangchun
阳东,yangdong
阳西,yangxi
宜良,yiliang
云龙,yunlong
漾濞,yangbi
永平,yongping
元阳,yuanyangxian
砚山,yanshanxian
玉溪,yuxi
易门,yimen
元江,yuanjiangxian
元谋,yuanmou
姚安,yaoan
永仁,yongren
彝良,yiliangxian
永善,yongshan
盐津,yanjinxian
永德,yongde
云县,yunxian
永胜,yongsheng
玉龙,yulongnaxi
盈江,yingjiang
邕宁,yongningqu
鱼峰,yufengqu
永福,yongfu
阳朔,yangshuo
雁山,yanshanqu
玉林,yulin1
玉州,yuzhouqu
右江,youjiang
宜州,yizhou
银海,yinhai
崖州,yazhouqu
洋浦,yangpu
云林,yunlin
宜兰,taiwanyilan
忠县,zhongxian
肇东,zhaodong
肇州,zhaozhou
肇源,zhaoyuan
镇赉,zhenlai
庄河,zhuanghe
中山,zhongshanqu1
振兴,zhenxingqu
振安,zhenanqu
站前,zhanqianqu
彰武,zhangwu
卓资,zhuozi
扎鲁特,zhalute
准格尔,zhungeer
正镶白旗,zhengxiangbaiqi
正蓝旗,zhenglanqi
扎兰屯,zhalantun
扎赉诺尔,zhalainuoer
扎赉特,zhalaite
中泉子,zhongquanzi
正定,zhengding
赞皇,zanhuang
赵县,zhaoxian
涿州,zhuozhou
张家口,zhangjiakou
张北,zhangbei
涿鹿,zhuolu
遵化,zunhua
枣强,zaoqiang
左云,zuoyun
左权,zuoquan
长子,zhangzi
泽州,zezhou
中阳,zhongyang
周至,zhouzhi
子长,zichang
志丹,zhidan
子洲,zizhou
柞水,zhashui
镇安,zhenan
紫阳,ziyang
镇坪,zhenping
镇巴,zhenba
章丘,zhangqiu
淄博,zibo
淄川,zichuan
周村,zhoucun
张店,zhangdianqu
招远,zhaoyuan1
芝罘,zhifuqu
诸城,zhucheng
邹城,zoucheng
沾化,zhanhua
邹平,zouping
枣庄,zaozhuang
泽普,zepu
昭苏,zhaosu
仲巴,zhongba
扎囊,zhanang
泽当,zedang
左贡,zuogong
札达,zhada
泽库,zeku
治多,zhiduo
杂多,zaduo
漳县,zhangxian
庄浪,zhuanglang
正宁,zhengning
镇原,zhenyuan
张掖,zhangye
张家川,zhangjiachuan
卓尼,zhuoni
舟曲,zhouqu
中卫,zhongwei
中宁,zhongning
郑州,zhengzhou
中牟,zhongmou
中原,zhongyuanqu
湛河,zhanhequ
镇平,zhenping1
柘城,zhecheng
中站,zhongzhanqu
周口,zhoukou
驻马店,zhumadian
正阳,zhengyang
镇江,zhenjiang
张家港,zhangjiagang
钟楼,zhonglouqu
枣阳,zaoyang
秭归,zigui
枝江,zhijiang
竹溪,zhuxi
竹山,zhushan
张湾,zhangwan
曾都,zengduqu
钟祥,zhongxiang
镇海,zhenhai
诸暨,zhuji
舟山,zhoushan
枞阳,zongyang
周宁,zhouning
柘荣,zherong
漳州,zhangzhou
漳浦,zhangpu
诏安,zhaoan
漳平,zhangping
政和,zhenghe
资溪,zixi
樟树,zhangshu
章贡,zhanggongqu
珠山,zhushanqu
株洲,zhuzhou
株洲,zhuzhouxian
珠晖,zhuhuiqu
蒸湘,zhengxiangqu
资兴,zixing
资阳,ziyangqu
张家界,zhangjiajie
芷江,zhijiang1
中方,zhongfang
遵义,zunyi
正安,zhengan
镇宁,zhenning
紫云,ziyun
镇远,zhenyuan1
织金,zhijin
钟山,zhongshanqu
贞丰,zhenfeng
自贡,zigong
自流井,ziliujingqu
梓潼,zitong
资中,zizhong
资阳,ziyang1
昭觉,zhaojue
中江,zhongjiang
昭化,zhaohuaqu
增城,zengcheng
浈江,zhenjiang1
珠海,zhuhai
肇庆,zhaoqing
湛江,zhanjiang
紫金,zijin
中山,zhongshan
沾益,zhanyi
镇沅,zhenyuanxian
昭通,zhaotong
镇雄,zhenxiong
昭阳,zhaoyangqu
镇康,zhenkang
中甸,zhongdian
资源,ziyuan
昭平,zhaoping
钟山,zhongshanxian
昭平,zhaopingqu
彰化,zhanghua
